+------------------------------------------------------------------------------+
| This file details naming conventions for IGS equipment descriptions in       |
| site logs, RINEX headers, and SINEX.  Additional and historical equipment    |
| names also appear here for convenience.  Please refer to the document        |
| "IGS Site Guidelines" @ http://www.igs.org/network/guidelines/guidelines.html|
| for guidance in selecting equipment suitable for use in the IGS Network.     | 
| The IGS Central Bureau, with support from the IGS Infrastructure Committee   |
| and IGS Antenna Working Group maintains this list and should be contacted    |
| at igscb @ igscb.jpl.nasa.gov with any comments.                             |
| Please see http://igscb.jpl.nasa.gov/network/guidelines/rcvr_ant.chklst.html |
|                                                                              |
| Conventions                                                                  |
| -----------                                                                  |
| Receivers: 20 columns maximum                                                |
|            One space between manufacturer name and model name                |
|            Allowed in model name: A-Z and 0-9 and space and - and _          |
| Antennas:  15 columns maximum                                                |
|            First three characters are manufacturer code (except satellites)  |
|            Allowed in manufacturer code: - and A-Z and 0-9                   |
|            Allowed in model name: /-_.+ and A-Z and 0-9                      |
| Radomes:   4 columns; A-Z and 0-9 allowed                                    |
| Antenna+Radome: Combine them with the radome code in columns 17-20.  Fill    |
|                 with spaces between the end of the antenna and column 17.    |
|                 Example: AOAD/M_T        SCIT                                |
|                                                                              |
| Changes:                                                                     |
| 23 Jul 2009  Added JAVC to the 'Antenna Domes' section                       |
| 13 Jul 2009  Renamed MAGELLAN PM-500 antenna to MAGPM-500, added JAVAD DUO_G2|
|                JAVAD DUO_G2 DELTA, JAVAD DUO_G2 SIGMA, JAVAD DUO_G2D,        |
|                JAVAD DUO_G2D DELTA, JAVAD DUO_G2D SIGMA, JAVAD GISMORE,      |
|                JAVAD QUA_G3D, JAVAD QUA_G3D DELTA, JAVAD QUA_G3D SIGMA,      |
|                JAVAD TR_G2, JAVAD TR_G2T ALPHA, JAVAD TR_G2TH ALPHA,         |
|                JAVAD TR_G3, JAVAD TR_G3 ALPHA, JAVAD TR_G3H,                 |
|                JAVAD TR_G3H ALPHA, JAVAD TR_G3T, JAVAD TR_G3T ALPHA,         |
|                JAVAD TR_G3TH, JAVAD TR_G3TH ALPHA, JAVAD TRE_G2T,            |
|                JAVAD TRE_G2T DELTA, JAVAD TRE_G2T SIGMA, JAVAD TRE_G2TH      |
|                JAVAD TRE_G2TH DELTA, JAVAD TRE_G2TH SIGMA, JAVAD TRE_G3T     |
|                JAVAD TRE_G3T DELTA, JAVAD TRE_G3T SIGMA, JAVAD TRE_G3TAJ SIGM|
|                JAVAD TRE_G3TH, JAVAD TRE_G3TH SIGMA, JAVAD TRE_G3TAJ         |
|                JAVAD TRE_G3TAJ DELT, JAVAD TRE_G3TH DELTA, JAVAD TRIUMPH1    |
|                JAVAD TRIUMPH4, JAVC dome, JAV_GRANT-G3T, JAV_RINGANT_G3T,    |
|                JAV_TRIUMPH-1, SEPT ASTERX2E, SEPT ASTERX2EH, SEPT POLARX3,   |
|                SEPT POLARX3G, SEPT POLARX3TR, SEPT POLARX3E, SEPT POLARX3EG, |
|                SEPT POLARX3ETR, signal bands for TRM55971.00 and TRM57971.00 |
| 01 Jun 2009  Corrected description for LEISR399_INT and LEISR399_INTA        |
| 30 Mar 2009  Modified header and sorted further equipments                   |
| 12 Mar 2009  Added TRIMBLE NETR8                                             |
| 12 Jan 2009  Added LEICA GX1210+, LEICA GX1220+, LEICA GX1230+,              |
|                LEICA GX1220+GNSS, LEICA GX1230+GNSS, LEICA ATX1230+GNSS,     |
|                LEICA GRX1200+, LEICA GRX1200+GNSS, LEIAX1203+GNSS,           |
|                LEIATX1230+GNSS                                               |
| 09 Jan 2009  Added more GLONASS-M satellites                                 |
| 02 Dec 2008  Added NOV OEMV3-RT2                                             |
| 01 Dec 2008  Added TRIMBLE NETR3, updated description of TRIMBLE NETR5       |
| 17 Nov 2008  Sorted Leica Antennae                                           |
| 06 Nov 2008  Moved UNKN dome back to "valid" section, added column header    |
|              "New Codes" to antenna domes, grouped DOME, ENCL, NONE, and UNKN|
|              together given their unique cases.                              |
|                Added LEIAR25, dome LEIT                                      |
| 03 Nov 2008  Moved dome GRAZ to *Previously Valid*                           |
| 09 Oct 2008  Added Webpage for Allen Osborne Associates, added RPTR to       |
|                TRIMBLE Antenna Domes section, added GLONASS numbers          |
| 06 Oct 2008  Rearranged to create a new section for MICROPULSE antennas,     |
|                joined Other Antennas with Other Receivers, capitalized       |
|                manufacturer names, updated Sources of Information            |
| 01 Oct 2008  Sorted by Manufacturer, Updated Sources of Information,         |
|                    Added TRM59800.00, SOK_GSR2700ISX, AERAT1675_29,          |
|                          MAGELLAN PM-500                                     |
| 28 Jul 2008  Added NOV OEM4-G2                                               |
| 09 Apr 2008  Added TPSPG_A1+GP                                               |
| 02 Apr 2008  Added NOV702, TRM57971.00, SEN67157596+CR                       |
| 18 Mar 2008  Added MPL_WAAS_2224NW and MPL_WAAS_2225NW                       |
| 28 Feb 2008  Renamed 'Historical data only' to 'Previously valid' in the     |
|                    dome field.                                               |
|              Repositioned dome CONE to ensure alphabetical order             |
| 27 Feb 2008  Added BEVA, OLGA, PFAN Antenna Domes. Also removed the blank    |
|                    dome field.                                               |
| 01 Oct 2007  Added NOV OEMV1, NOV OEMV1G, NOV OEMV2, NOV OEMV3, NOV 15A,     |
|                    NOV WAASGII, NOV533+CR, NOV600LB, NOV701GG, NOV701GGL,    |
|                    NOV702GG, NOV702GGL, NOV702L, NOV704X                     |
| 10 Aug 2007  Added SEPT POLARX2C, SEPT ASTERX1, SEPT ASTERX2                 |
| 16 Jul 2007  Added LEICA GMX901, LEICA GMX902GG, TPSH, TPSD, TPSG3_A1,       |
|              TPSPG_A1, SEPT POLARX2E. Changed TPSCR_G3 to TPSCR.G3,          |
|              correcting previous submission from TPS.                        |
| 07 May 2007  Added TPS NETG3 and TPSCR_G3                                    |
| 06 Mar 2007  Added LEICA GMX902                                              |
| 04 Jan 2007  Added LEIAT504GG                                                |
| 17 Nov 2006  Improved machine readability of Previously Valid blocks.        |
| 08 Sep 2006  Added TRIMBLE NETR5                                             |
| 31 Aug 2006  Added TRM55971.00, listed AOAD/M_T part numbers                 |
| 27 Jul 2006  Added SOK GSR2700 RS, SOK702                                    |
| 06 Jun 2006  Added LEISR399_INTA, LEIAX1202GG, LEIATX1230GG, LEICA ATX1230,  |
|              LEICA GX1230GG, LEICA GRX1200GGPRO, TRM41249USCG                |
| 05 Jun 2006  TRM10877.10+RGP did not exist. Changed to TRM12333.00+RGP       |
               TRM10877.10+SGP did not exist. Changed to TRM11877.10+SGP       |
| 09 Feb 2006  Moved deprecated codes to Previously Valid blocks               |
| 20 Jan 2006  Added TPS ODYSSEY_E                                             |
| 31 Oct 2005  Added TPS Eurocard, added PRNs 48-50,52,55,57-78 to BLOCK IIR-M |
| 05 Oct 2005  Added JPS EGGDT, specified SVN 53 in BLOCK IIR-M                |
| 29 Jun 2005  Corrected typographical error: TPSODDYSSEY_I becomes            |
|              TPSODYSSEY_I and TPS ODDYSSEY_I becomes TPS ODYSSEY_I           |
| 05 May 2005  Added LEICA GRX1200LITE, TPS E_GGD; Clarified description of    |
|              LEICA GRX1200                                                   |
| 24 Mar 2005  Added LEIATX1230, BLOCK IIR-A, BLOCK IIR-B, BLOCK IIR-M,        |
|              SPP571212238+GP; Deprecated BLOCK IIR                           |
| 16 Nov 2004  Added SEPT POLARX2                                              |
| 08 Nov 2004  Deprecated JPS MARANT_GGD; replaced by JNS MARANT_GGD           |
| 22 Oct 2004  Added NOV EURO4-1.00-222                                        |
| 12 Aug 2004  Added JPS MARANT_GGD                                            |
| 29 Jun 2004  Corrected typographical error: TOP72210 becomes TOP72110        |
| 16 Jun 2004  Added Satellite antennas: BLOCK I, BLOCK II, BLOCK IIA,         |
|              BLOCK IIR, BLOCK IIF, GLONASS, GLONASS-M, GLONASS-K             |
| 11 Feb 2004  Added TRIMBLE 5800, TRIMBLE R7, TRIMBLE R8, TRIMBLE NETRS,      |
|              TRM5800, TPS HIPER_GD, TPS HIPER_GGD, TPS HIPER_LITE,           |
|              TPS HIPER_PLUS, TPS ODDYSSEY_I, TPS GB-1000, TPSCR4,            |
|              TPSHIPER_GD, TPSHIPER_GGD, TPSHIPER_LITE, TPSHIPER_PLUS,        |
|              TPSLEGANT_G, TPSLEGANT2, TPSLEGANT3_UHF, TPSODDYSSEY_I,         |
|              TPSPG_A1, SOK RADIAN, SOK RADIAN_IS, SOK GSR2600, SOK502,       |
|              SOK600, SOK_RADIAN_IS, NAVCOM NCT-2000D, NAVCOM SF-2000,        |
|              NAVCOM NCT-2030M, NAVCOM SF-2040G, NAVCOM SF-2050G,             |
|              NAVCOM SF-2050M, NAVCOM SF-2050R, NAVCOM RT-3010S,              |
|              NAVCOM RT-3020S, NAVCOM RT-3020M, NAVAN2004T, NAVAN2008T,       |
|              LEICA GX1210, LEICA GX1220, LEICA GX1230, LEICA GRX1200,        |
|              LEICA GRX1200PRO, LEIAX1201, LEIAX1202, ASH701945G_M,           |
|              NOV MILLEN-RT2, NOV MILLEN-RT2OS, NOV MILLEN-STD,               |
|              NOV MILLEN-STDW                                                 |
| 19 Nov 2003  Added AUST                                                      |
| 29 Sep 2003  Added ASHTECH Z-X                                               |
| 21 Aug 2003  Added Added JPS E_GGD                                           |
| 27 Jun 2003  Added ASH701945D_M                                              |
| 30 May 2003  Added TPS LEGACY                                                |
| 19 May 2003  Added TOPCON TT4000SSI, TPSCR3_GGD                              |
|              Moved TOPCR3_GGD to "Previously valid"                          |
|  2 May 2003  Added *previously valid* Ashtech 700228 NOTCH and RINGS         |
| 14 Mar 2003  Added ASH701933C_M                                              |
| 27 Jan 2003  Added GPPNULLANTENNA                                            |
| 22 Jan 2003  Added TOPCR3_GGD, CONE                                          |
| 17 Jan 2003  Added TZGD                                                      |
| 11 Nov 2002  Added ASH701945E_M                                              |
|  5 Nov 2002  Added NOV503+CR; amended SPKE description                       |
| 31 Oct 2002  Added NOV_WAAS_600                                              |
| 30 Oct 2002  Deprecated duplicate ASHTECH MICROZ code                        |
| 16 Jul 2002  Added UNKN radome for use in historic periods only              |
|  5 Jul 2002  Added ESA/ISN GNSS                                              |
| 20 Jun 2002  Added JPS EUROCARD                                              |
| 18 Jun 2002  Added NOV600                                                    |
| 10 Jun 2002  Added ASH700699.L1                                              |
| 05 Mar 2002  Added RPTR                                                      |
| 28 Jan 2002  Added AOA TTR-4P, AOA TTR-12                                    |
| 30 Nov 2001  Changed Texas Inst. Receiver block header only                  |
| 26 Jun 2001  Added ASH701933A_M,ASH701975.01A,ASH701975.01Agp                |
| 21 Jun 2001  Deprecated ASH701945.02B, ASH701946.012, ASH701946.022          |
|              Clarified descriptions ASH701946.012 & .022, ASH701945B_M & C_M |
|              Added ASH701946.3, ASH701946.2                                  |
| 19 Jun 2001  Added ASHTECH Z-XII3GETT                                        |
|              Modified description only ASHTECH Z-XII3T                       |
|              Added AERAT2775_43                                              |
|  1 Jun 2001  Added ASH701946.012                                             |
| 27 Apr 2001  Added TCWD                                                      |
|              Corrected descriptions for TRM41249.00, TRM39105.00             |
|              Clarified descriptions (again) for ASH701945B_M, ASH701945C_M   |
|              Added ASH701941.1, ASH701941.2, ASH701941.A, and (re)clarified  |
|                description of ASH701941.B (no longer covers revs 1,2,A)      |
| 10 Apr 2001  Corrections to TOPCON GP-S1 and TOPCON R1SD.                    |
| 09 Apr 2001  Added TRM41249.00, TRM39105.00                                  |
| 05 Apr 2001  Added TOPCON GP-R1, GP-S1, GP-SX1, GP-DX1; & TRIMBLE 5700       |
| 29 Jan 2001  Added LEICA RS500, LEICA MC500                                  |
| 24 Jan 2001  Added ASHTECH Z-XII3T                                           |
| 08 Dec 2000  Added TRIMBLE MS750                                             |
| 27 Oct 2000  Added AOA RASCAL-8 and AOA RASCAL-12                            |
| 26 Oct 2000  Clarified description of ASH701941.B                            |
|  9 Oct 2000  Clarification in descriptions of ASH701946.022, ASH701945B_M,   |
|              ASH701945C_M, ASH701945.02B, ASHTECH Z-XII3 to indicate         |
|              physically equivalent revision numbers, per Ashtech             |
|  8 Sep 2000  Added LEICA SR9600                                              |
|  1 Sep 2000  Added ASH701945C_M                                              |
| 15 Mar 2000  Added ASH701941.B                                               |
| 19 Nov 1999  Added AOA ICS-4000Z ACT                                         |
|  5 Nov 1999  Added GEOTRACER 100                                             |
|  5 Nov 1999  Added ASH701073.3                                               |
| 26 Oct 1999  Added TRM4800, TRM33429.20+GP                                   |
| 26 Oct 1999  Added ASH700700.C,ASH701008.01B,ASH709145.02B,ASH701946.022     |
| 26 Oct 1999  Added SPP571908273                                              |
| 26 Oct 1999  Added SPKE                                                      |
| 26 Oct 1999  Changed GEO codes to SPP                                        |
| 21 Sep 1999  Added AOA ICS-4000Z                                             |
| 21 Sep 1999  Renamed AOAD/M_RA_NGS to AOAD/M_TA_NGS                          |
| 21 Sep 1999  Modified ASH701945B to ASH701945B_M for consistency             |
| 21 Sep 1999  Added ASH701933B_M                                              |
| 17 Aug 1999  DUTD added                                                      |
+----------------------+-------------------------------------------------------+

+----------------------+-------------------------------------------------------+
| 3SNAVIGATION Rcvrs   |                                                       |
| IGS Codes-20 columns |                      Description                      |
| XXXXXXXXXXXXXXXXXXXX |                                                       |
+----------------------+-------------------------------------------------------+
| 3SNAV GNSS-300       |  L1 C/A GPS/GLONASS, 12 channel                       |
| 3SNAV GNSS-300T      |  L1 C/A GPS/GLONASS, 18 channel                       |
| 3SNAV R100 OLD       |  L1 C/A GPS/GLONASS, 12 channel                       |
| 3SNAV R101 OLD       |  GLONASS L1, L2 C/A and P Code, 4 channel             |
|                      |  Note: For all R100 series below, additional P code   |
|                      |   GLONASS channels available up to total of 12        |
| 3SNAV R100-30        |  GLONASS L1-band or L2-band, C/A-code or P-code,      |
|                      |   2 channel                                           |
| 3SNAV R100-30T 2     |  GLONASS L1 C/A code and L1/L2 P code, 2 channel      |
| 3SNAV R100-30T 12    |  R100-30T 2 with L1 C/A GPS/GLONASS expansion,        |
|                      |   up to 12 channels                                   |
| 3SNAV R100-40        |  GLONASS L1-band or L2-band, C/A-code or P-code,      |
|                      |   4 channel                                           |
| 3SNAV R100-40T 4     |  GLONASS L1 C/A code and L1/L2 P code, 4 channel      |
| 3SNAV R100-40T 12    |  R100-40T 4 with L1 C/A GPS/GLONASS expansion,        |
|                      |   up to 12 channels                                   |
+----------------------+-------------------------------------------------------+
| 3SNAVIGATION Antennae|                                                       |
| IGS Codes-15 columns |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------|
| 3S-02-1AERO-CR       |  L1 assembly with Aero antenna without chokerings     |
| 3S-02-1AERO+CR       |  L1 assembly with Aero antenna and chokerings         |
| 3S-02-2AERO+CR       |  L1/L2 assembly with Aero antenna and chokerings      |
| 3S-02-2AERO+GP       |  L1/L2 assembly with Aero antenna and groundplane     |
| 3S-02-DM+CR          |  L1/L2 assembly,                                      |
|                      |   Dorne Margolin element and chokerings               |
| 3S-02-DM-CR          |  L1/L2 assembly,                                      |
|                      |   Dorne Margolin element without chokerings           |
| 3S-02-MACOM+GP       |  L1 assembly, M/Acom helix antenna and groundplane    |
| 3S-02-MAN            |  L1 assembly with MAN Tech antenna                    |
| 3S-02-TE+GP          |  L1/L2 assembly with Tecomm antenna and groundplane   |
| 3S-02-TSADM          |  TSA-100 assembly with Dorne Margolin antenna         |
| 3S-02-TSATE          |  TSA-100 assembly with Tecomm antenna                 |
+----------------------+-------------------------------------------------------+

+----------------------+-------------------------------------------------------+
| ASHTECH Receivers    |                                                       |
| IGS Codes-20 columns |                      Description                      |
