* Ocean tidal loading corrections for the center-of-mass motion  
* From the web page of Hans-Georg Scherneck at Onsala Space Observatory 
* Z X Y in-phase and cross-phase coefficients for 11 tidal components in meters 
* Values to be ADDED to the joint center of mass to put the tides into a solid-Earth fixed frame
* Read by subroutine /gamit/lib/otl_cmc.f 
* Format: (a3,6x,a8,t42,3(2x,2e12.4))     
*                                            in-phase Z  out-Z           in-X       out-X          in-Y       out-Y 
MODEL FES2004   
M2   NCDF_FES2004                           -1.2661E-03 -1.4298E-03   -1.3724E-03  8.2077E-04    1.1479E-03  2.3005E-04
S2   NCDF_FES2004                           -1.7763E-04 -5.7273E-04   -5.3350E-04 -3.1591E-04   -5.1370E-05  2.8184E-04
N2   NCDF_FES2004                           -3.2372E-04 -2.8986E-04   -2.7121E-04  1.9849E-04    2.6018E-04 -1.4302E-04
K2   NCDF_FES2004                           -1.1814E-04 -1.5250E-04   -1.1223E-04 -1.0889E-05   -1.5751E-05  1.2367E-04
K1   NCDF_FES2004                           -1.1370E-03  4.4839E-03   -1.8539E-03 -8.6426E-04   -9.1022E-04 -1.7823E-03
O1   NCDF_FES2004                           -1.6802E-04  2.9702E-03   -1.3985E-03 -2.2975E-04   -8.8858E-04 -6.4989E-04
P1   NCDF_FES2004                           -3.6495E-04  1.4941E-03   -6.1436E-04 -2.9129E-04   -2.9261E-04 -5.7461E-04
Q1   NCDF_FES2004                            3.0709E-05  4.5472E-04   -2.7831E-04 -2.9313E-05   -2.1734E-04 -4.1637E-05
Mf   NCDF_FES2004                           -5.0643E-04 -7.3040E-05   -2.2065E-04  4.1472E-04   -1.0212E-04  8.2276E-05
Mm   NCDF_FES2004                           -2.7885E-04  2.0596E-05    4.6882E-05  1.8399E-04   -7.4897E-06  1.3209E-05
Ssa  NCDF_FES2004                           -1.4899E-04  2.6146E-06    1.3687E-04  3.5475E-05   -2.4093E-05  3.1666E-07
MODEL NAO99b  
M2   NCDF_NAO.99b                           -1.0136E-03 -1.8310E-03   -1.5394E-03  9.1650E-04    1.2540E-03  2.1407E-04
S2   NCDF_NAO.99b                           -9.0265E-05 -6.3582E-04   -6.6726E-04 -2.4033E-04    1.1742E-05  4.0787E-04
N2   NCDF_NAO.99b                           -2.4272E-04 -3.5957E-04   -1.9161E-04  2.0911E-04    2.5505E-04 -9.0311E-05
K2   NCDF_NAO.99b                           -4.9821E-05 -1.4579E-04   -1.8419E-04 -5.8852E-05   -7.2434E-06  1.1543E-04
K1   NCDF_NAO.99b                           -9.4363E-04  4.4693E-03   -1.9978E-03 -8.9209E-04   -8.4495E-04 -1.8219E-03
O1   NCDF_NAO.99b                           -2.2647E-04  2.9122E-03   -1.3611E-03 -2.0965E-04   -9.5288E-04 -6.3101E-04
P1   NCDF_NAO.99b                           -2.2954E-04  1.3931E-03   -6.4777E-04 -2.5474E-04   -2.8270E-04 -5.5939E-04
Q1   NCDF_NAO.99b                           -6.4843E-05  5.8558E-04   -2.1779E-04 -5.5420E-05   -2.2622E-04 -8.9340E-05
Mf   NCDF_NAO.99b                           -4.7583E-04 -6.0332E-05   -2.8272E-04  3.0265E-04   -6.9843E-05  2.3024E-05
Mm   NCDF_NAO.99b                           -2.5291E-04  1.3725E-05    3.4144E-05  2.1128E-04   -3.0857E-05  8.6599E-06
Ssa  NCDF_NAO.99b                           -1.8139E-04  1.1253E-05    1.8580E-04  4.5906E-05   -1.7213E-05  3.1429E-06
MODEL CSR4            
M2   NCDF_CSR4                              -1.2057E-03 -1.5622E-03   -1.2770E-03  8.9179E-04    1.1261E-03  9.5623E-05
S2   NCDF_CSR4                              -3.4691E-04 -6.1671E-04   -7.9892E-04 -1.6769E-04    1.3265E-05  4.2103E-04
N2   NCDF_CSR4                              -3.6731E-04 -2.4039E-04   -2.2947E-04  2.3629E-04    2.3958E-04 -7.3990E-05
K2   NCDF_CSR4                              -9.6339E-05 -1.5972E-04   -2.2364E-04 -5.9945E-05   -1.2048E-05  1.2083E-04
K1   NCDF_CSR4                              -1.2494E-03  4.5502E-03   -1.9786E-03 -1.0379E-03   -9.2832E-04 -1.7206E-03
O1   NCDF_CSR4                              -3.2458E-04  2.8817E-03   -1.1919E-03 -2.1220E-04   -9.2985E-04 -7.2947E-04
P1   NCDF_CSR4                              -3.6021E-04  1.4826E-03   -6.5751E-04 -3.1036E-04   -3.1176E-04 -5.6200E-04
Q1   NCDF_CSR4                              -1.5467E-04  5.8453E-04   -1.7167E-04 -6.8065E-05   -2.1567E-04 -6.4025E-05
Mf   NCDF_CSR4                              -4.1085E-04 -9.7309E-06   -9.4686E-05  4.1078E-04   -1.2121E-04  9.2463E-05
Mm   NCDF_CSR4                              -2.4701E-04  1.4906E-05   -5.2165E-05  1.0967E-04   -9.9642E-06  3.0009E-06
Ssa  NCDF_CSR4                              -1.5858E-04  6.2442E-07    2.2786E-04  3.4451E-05   -2.4901E-05  1.0291E-06
MODEL TPX7
M2   NCDF_TPXO.7.0                          -1.3197E-03 -1.6812E-03   -1.3039E-03  7.2151E-04    1.1568E-03  2.0251E-04
S2   NCDF_TPXO.7.0                          -2.2013E-04 -6.0192E-04   -6.6262E-04 -3.3853E-04   -2.3353E-04  2.8147E-04
N2   NCDF_TPXO.7.0                          -3.6117E-04 -2.3337E-04   -1.4306E-04  2.0928E-04    2.1419E-04 -1.3306E-04
K2   NCDF_TPXO.7.0                          -8.6335E-05 -1.4424E-04   -1.7790E-04 -6.8601E-05   -2.6831E-05  4.3468E-05
K1   NCDF_TPXO.7.0                          -1.2144E-03  4.6925E-03   -2.1676E-03 -1.0986E-03   -9.1539E-04 -1.8461E-03
O1   NCDF_TPXO.7.0                          -3.6871E-04  3.0894E-03   -1.3864E-03 -2.9950E-04   -9.0574E-04 -7.1006E-04
P1   NCDF_TPXO.7.0                          -3.1041E-04  1.5792E-03   -7.6029E-04 -4.0312E-04   -3.4480E-04 -6.0780E-04
