PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipACC1BF            : 8                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) ACC_compress.c       1.64 09/29/03         
SOFTWARE LINK TIME            : @(#) 2003-09-29 09:00:27 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : ACC  GRACE_ICU_cal.txt 1.5 03/10/02             
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769600.000000 (2003-09-14 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116769659.000000 (2003-09-14 00:00:59.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:48:33 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:49:06 by l0tol1                   
FILESIZE (BYTES)              : 15856                                           
FILENAME                      : newasc/ACC1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : ACC1A<-ACC1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : ACC1A<-2003-09-15 05:32:19 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:48:07 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 05:35:46 by l0tol1            
INPUT FILE NAME               : A2B<-ACC1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:24 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769600 A 1.211359188507761e-06 -2.851204513834005e-05 5.299886746557486e-07 0.0003327737600052262 -3.927947908873917e-05 -0.0002915963293999181 9.301541741975916e-10 -2.147900309300071e-09 -7.552090612364371e-09  00100000
116769601 A 1.211463523360847e-06 -2.85120869691538e-05 5.30029160284579e-07 0.0003323750714485711 -3.920517447587446e-05 -0.0002915121334709944 6.244485098179535e-09 -2.326598170407878e-09 1.017648577318275e-08  00100000
116769602 A 1.211562432731824e-06 -2.851213063199275e-05 5.300792168860806e-07 0.0003322743869733361 -3.899426752723839e-05 -0.0002916277655676701 -1.493881997232178e-08 -6.601141836212819e-10 -6.740489690685937e-08  00100000
