PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipACC1BF            : 8                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) ACC_compress.c       1.64 09/29/03         
SOFTWARE LINK TIME            : @(#) 2003-09-29 09:00:27 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : ACC  GRACE_ICU_cal.txt 1.5 03/10/02             
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769600.000000 (2003-09-14 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116769659.000000 (2003-09-14 00:00:59.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:54:06 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:54:39 by l0tol1                   
FILESIZE (BYTES)              : 15902                                           
FILENAME                      : newasc/ACC1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : ACC1A<-ACC1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : ACC1A<-2003-09-15 17:31:22 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:52:48 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 17:32:32 by l0tol1            
INPUT FILE NAME               : A2B<-ACC1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:24 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769600 B 5.48644360587251e-07 -9.383033900467758e-06 8.549720233803752e-07 -0.0004171157251939952 -7.451126261797671e-06 -0.0005841980073225375 1.845843476697955e-09 -7.685006879725852e-10 1.386414809737084e-09  11000000
116769601 B 5.485513996572854e-07 -9.383032056284264e-06 8.552803269734549e-07 -0.0004169433542033174 -7.489421217021597e-06 -0.0005841375906211327 -1.905462684717747e-08 -5.043431755598761e-10 -1.551091380922562e-08  10000000
116769602 B 5.484634118934381e-07 -9.383035395502974e-06 8.55570796534888e-07 -0.0004167992235199351 -7.49883731391205e-06 -0.0005840836845371053 2.707491801811294e-09 -4.365119861301755e-10 -6.512215857957566e-09  10000000
