PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 35                                              
SOFTWARE VERSION              : @(#) tdp2clk1b.c       1.28 05/31/03            
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:16:02 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769300.000000 (2003-09-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116786700.000000 (2003-09-14 04:45:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:52:48 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:52:48 by l0tol1                   
FILESIZE (BYTES)              : 9683                                            
FILENAME                      : newasc/CLK1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-15_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-15 17:33:13 by l0tol1            
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-16 15:20:58 by l0tol1            
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-15_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-17 06:35:23 by l0tol1            
INPUT FILE NAME               : A2B<-CLK1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:24 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769300 B 4 -0.002936298466696899 1.202555568133895e-10 -3.347989317790457e-08 2.625114488625548e-11  00000010
116769300 B 4 -0.002936298466696899 1.202555568133895e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116769600 B 4 -0.002946343305754343 1.187295719782287e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116769900 B 4 -0.002956387929357967 1.189042716467992e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116770200 B 4 -0.002966432366346212 1.212241349130171e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116770500 B 4 -0.002976476664576879 1.242908297199103e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116770800 B 4 -0.002986521021377936 1.291677375306229e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116771100 B 4 -0.002996565637796379 1.341112621596578e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116771400 B 4 -0.003006610591824054 1.39090240622348e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116771700 B 4 -0.003016655892099288 1.442595260117941e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116772000 B 4 -0.003026701389848905 1.483544533109909e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116772300 B 4 -0.003036747149880451 1.517805402801734e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116772600 B 4 -0.003046792994630606 1.544269519468752e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116772900 B 4 -0.003056838862291153 1.562391242445571e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116773200 B 4 -0.003066884550027524 1.567751247431315e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116773500 B 4 -0.0030769300733493 1.559745709146559e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116773800 B 4 -0.003086975346307876 1.553741555432992e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116774100 B 4 -0.003097020583568594 1.543734632577048e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116774400 B 4 -0.003107065657290612 1.542066812101057e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116774700 B 4 -0.003117110728197179 1.543067504386652e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116775000 B 4 -0.003127155542903509 1.548070965814624e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116775300 B 4 -0.003137200124196649 1.564415606479333e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116775600 B 4 -0.003147244440820065 1.567751247431315e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116775900 B 4 -0.003157288563678115 1.575423221620872e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116776200 B 4 -0.003167332712512361 1.587765093143204e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116776500 B 4 -0.00317737700748461 1.593769246856771e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116776800 B 4 -0.003187421646962342 1.600440528760734e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116777100 B 4 -0.003197466666349934 1.599439836475139e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116777400 B 4 -0.003207512065347606 1.601441221046328e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116777700 B 4 -0.00321755762335901 1.603109041522319e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
