PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAG1XF            : 15                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) TimeCorrHK.c       1.22 08/18/03           
SOFTWARE LINK TIME            : @(#) 2003-09-17 12:35:00 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : Nodef                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769606.997053 (2003-09-14 00:00:07.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116770176.997034 (2003-09-14 00:09:37.00)       
NUMBER OF DATA RECORDS        : 58                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:53:58 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:53:59 by l0tol1                   
FILESIZE (BYTES)              : 10496                                           
FILENAME                      : newasc/MAG1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAG1A<-MAG1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : MAG1A<-2003-09-15 17:31:03 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:52:48 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 17:32:32 by l0tol1            
INPUT FILE NAME               : A2B<-MAG1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
