PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) TimeCorrHK.c       1.22 08/18/03           
SOFTWARE LINK TIME            : @(#) 2003-09-17 12:35:00 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : SCCS ID NOT SET                                 
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769639.924495 (2003-09-14 00:00:39.92)       
TIME LAST OBS(SEC PAST EPOCH) : 116771401.624048 (2003-09-14 00:30:01.62)       
NUMBER OF DATA RECORDS        : 58                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:51:50 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:51:51 by l0tol1                   
FILESIZE (BYTES)              : 8518                                            
FILENAME                      : newasc/MAS1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2003-09-22 17:45:23 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:48:07 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 05:35:46 by l0tol1            
INPUT FILE NAME               : A2B<-MAS1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769639 924495 G A  00000000 11001100 482.1762426059479 0 13.44169069987413 13.46425190607377
116769699 924480 G A  00000000 11001100 482.1617215389015 0 13.43353780616298 13.45788373273853
116769759 924465 G A  00000000 11001100 482.1680987791066 0 13.43991504636808 13.45788373273853
116769819 924450 G A  00000000 11001100 482.1617215389015 0 13.43353780616298 13.45788373273853
116769836 624445 G A  00000000 00110011 482.1597008668953 1.706297206159343 13.44140873617103 13.44799213072424
116769858 624440 G A  00000000 00110011 482.1597161980251 0.3650255341471901 13.44140902170344 13.44800717632169
116769861 624439 G A  00000000 00110011 482.1597069355693 1.685878771521661 13.44140520250375 13.44800173306548
116769879 924434 G A  00000000 11001100 482.1680987791066 0 13.43991504636808 13.45788373273853
116769884 624433 G A  00000000 00110011 482.1596967374933 1.835975633814143 13.44140099752144 13.4479957399719
116769913 624426 G A  00000000 00110011 482.1596855102316 2.001083906588528 13.44139636817723 13.44798914205432
116769939 624419 G A  00000000 00110011 482.1596731602166 2.181204172569835 13.44139127589145 13.44798188432516
116769939 924419 G A  00000000 11001100 482.1680987791066 0 13.43991504636808 13.45788373273853
116769957 624415 G A  00000000 00110011 482.1596595938798 2.376337094905947 13.44138568208407 13.44797391179569
116769990 624406 G A  00000000 00110011 482.1596446708699 2.593988143192 13.44137952888553 13.44796514198433
116769999 924404 G A  00000000 11001100 482.1680987791066 0 13.43991504636808 13.45788373273853
116770059 924389 G A  00000000 11001100 482.1744758189134 0 13.44629208617488 13.45788373273853
116770119 924374 G A  00000000 11001100 482.1599491983669 0 13.43176546562833 13.45788373273853
116770179 924358 G A  00000000 11001100 482.1518163759194 0 13.43176546562833 13.44975091029104
116770222 624347 G A  00000000 00110011 482.1596415417627 1.373095417221615 13.44137693215298 13.44796460960973
116770230 624345 G A  00000000 00110011 482.1596380997513 1.490410237678337 13.44137407574602 13.44796402400527
116770239 924343 G A  00000000 11001100 482.1518163759194 0 13.43176546562833 13.44975091029104
116770248 624341 G A  00000000 00110011 482.1596343252806 1.615058483375561 13.44137094343474 13.44796338184588
116770299 924328 G A  00000000 11001100 482.1581826366383 0 13.43176546562833 13.45611717100998
116770359 924313 G A  00000000 11001100 482.1663173717021 0 13.43176546562833 13.46425190607377
116770419 624297 G A  00000000 00110011 482.1596301596825 1.761704399680166 13.44136748652995 13.44796267315259
116770420 624297 G A  00000000 11111111 482.1596255834031 1.915684587158846 482.1599491983669 0 13.44136368880153 13.44796189460156 13.43176546562833 13.45788373273853
116770479 924282 G A  00000000 11001100 482.1599491983669 0 13.43176546562833 13.45788373273853
116770539 924267 G A  00000000 11001100 482.1663243151068 0 13.43814058236824 13.45788373273853
116770599 924252 G A  00000000 11001100 482.1599491983669 0 13.43176546562833 13.45788373273853
116770659 924236 G A  00000000 11001100 482.1581826366383 0 13.43176546562833 13.45611717100998
116770719 924221 G A  00000000 11001100 482.1645577533782 0 13.43814058236824 13.45611717100998
116770722 624221 G A  00000000 00110011 482.1596201100631 1.078048140438145 13.44136143198303 13.44795867808007
116770747 624214 G A  00000000 00110011 482.1596140753485 1.168107195387516 13.44135894369426 13.44795513165421
116770775 624207 G A  00000000 00110011 482.1596074792574 1.258167066151912 13.44135622393473 13.4479512553226
116770779 924206 G A  00000000 11001100 482.1645577533782 0 13.43814058236824 13.45611717100998
116770787 624204 G A  00000000 00110011 482.1595922097441 0.337185471323189 13.44135461637811 13.44793759336598
116770799 624201 G A  00000000 00110011 482.159576195345 0.3438777609115933 13.44135293040183 13.44792326494312
116770819 624196 G A  00000000 00110011 482.1595590636264 0.3539161051497876 13.44135112679673 13.44790793682961
116770831 624193 G A  00000000 00110011 482.159551765814 1.3707421771847 13.44134811769859 13.44790364811539
116770836 624192 G A  00000000 00110011 482.1595338891986 0.3606085027068063 13.44134623567304 13.44788765352553
116770839 924191 G A  00000000 11001100 482.1581826366383 0 13.43176546562833 13.45611717100998
116770853 624187 G A  00000000 00110011 482.1595152676813 0.3673009500692522 13.44134427522668 13.44787099245464
116770856 624187 G A  00000000 00110011 482.1594750450548 0.5613720416376093 13.44134004065182 13.44783500440298
116770871 624183 G A  00000000 00110011 482.1594534439304 0.3940707442948989 13.44133776652224 13.44781567740817
116770895 624177 G A  00000000 00110011 482.159430725443 0.4041095209192508 13.4413353747607 13.44779535068227
116770899 924176 G A  00000000 11001100 482.1645577533782 0 13.43814058236824 13.45611717100998
116770959 924160 G A  00000000 11001100 482.1645577533782 0 13.43814058236824 13.45611717100998
116771019 924145 G A  00000000 11001100 482.1709238138007 0 13.43814058236824 13.46248323143243
116771079 924130 G A  00000000 11001100 482.1709238138007 0 13.43814058236824 13.46248323143243
116771139 924115 G A  00000000 11001100 482.1709238138007 0 13.43814058236824 13.46248323143243
116771199 924099 G A  00000000 11001100 482.1645577533782 0 13.43814058236824 13.45611717100998
116771259 924084 G A  00000000 11001100 482.1581826366383 0 13.43176546562833 13.45611717100998
116771319 924069 G A  00000000 11001100 482.1709238138007 0 13.43814058236824 13.46248323143243
116771344 624063 G A  00000000 00110011 482.1594451721277 0.3555052398640962 13.44133564382276 13.44780952830492
116771349 624061 G A  00000000 00110011 482.1594602085174 0.3618528362415747 13.44133592386969 13.44782428464772
116771358 624059 G A  00000000 00110011 482.1594761294501 0.3713740887834958 13.44133622039303 13.44783990905701
116771379 924054 G A  00000000 11001100 482.1726982778005 0 13.43991504636808 13.46248323143243
116771401 624048 G A  00000000 00110011 482.1594929349341 0.380895425772296 13.44133653339329 13.44785640154073
