PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 35                                              
SOFTWARE VERSION              : @(#) tdp2clk1b.c       1.28 05/31/03            
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:16:02 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769300.000000 (2003-09-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116786700.000000 (2003-09-14 04:45:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:48:07 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:48:07 by l0tol1                   
FILESIZE (BYTES)              : 9621                                            
FILENAME                      : newasc/CLK1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-13_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-15_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-13_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-15 05:36:15 by l0tol1            
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-16 15:17:10 by l0tol1            
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-15_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-17 06:13:52 by l0tol1            
INPUT FILE NAME               : A2B<-CLK1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:24 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769300 A 3 -0.07541825833843029 1.074709586694259e-10 -2.538676319877871e-07 2.633523415631979e-11  00000010
116769300 A 3 -0.07541825833843029 1.074709586694259e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116769600 A 3 -0.07549441951678981 1.066055205798493e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116769900 A 3 -0.07557058058026291 1.075735631400332e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116770200 A 3 -0.07564674176133838 1.09731477945414e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116770500 A 3 -0.0757229027955129 1.134490848757093e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116770800 A 3 -0.07579906389059805 1.179560392640936e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116771100 A 3 -0.07587522552274878 1.228199177620393e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116771400 A 3 -0.07595138729328309 1.276627649711276e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116771700 A 3 -0.07602754941475084 1.321996077415586e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116772000 A 3 -0.07610371150378036 1.36239845619369e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116772300 A 3 -0.07617987375467367 1.395423761709773e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116772600 A 3 -0.0762560360357097 1.419318869765131e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116772900 A 3 -0.07633219812372131 1.427209572884118e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116773200 A 3 -0.0764083598719055 1.421316609639326e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116773500 A 3 -0.07648452124863848 1.410308994497787e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116773800 A 3 -0.0765606823579873 1.40430484078422e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116774100 A 3 -0.07663684328856971 1.403971276689022e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116774400 A 3 -0.07671300417124159 1.406639789450607e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116774700 A 3 -0.07678916494749143 1.409975430402589e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116775000 A 3 -0.07686532568503364 1.414645327735363e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116775300 A 3 -0.07694148671914898 1.425652942876902e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116775600 A 3 -0.07701764748786824 1.428988583828884e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116775900 A 3 -0.07709380826619085 1.432657788876063e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116776200 A 3 -0.07716996925659547 1.434659173447252e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116776500 A 3 -0.07724613055680594 1.436660558018441e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116776800 A 3 -0.07732229210368081 1.443331839922404e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116777100 A 3 -0.07739845385642227 1.44233114763681e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116777400 A 3 -0.07747461565669424 1.444999660398395e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116777700 A 3 -0.07755077755921171 1.44766817315998e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
