PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipGNV1BF            : 5                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) gni1a2gnv1b.c       1.6 05/06/03           
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:15:47 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : GRACE A                                         
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769540.000000 (2003-09-13 23:59:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116773080.000000 (2003-09-14 00:58:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:47:46 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:47:46 by l0tol1                   
FILESIZE (BYTES)              : 14583                                           
FILENAME                      : newasc/GNV1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-13_A_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-09-22 07:06:26 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:30:39 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-15_A_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:45:47 by l0tol1            
INPUT FILE NAME               : A2B<-GNV1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769540 A E 1075039.747316824 -3246695.676157008 -5943208.088421497 0.01134028210287175 0.01208733386762574 0.1064907606455685 2088.38438 -6255.78024473832 3807.79983473832 8.23715115348933e-06 1.182484448735735e-05 0.002870043754629767  00000000
116769600 A E 1196256.535 -3615137.1835 -5701699.2105 0.01132508786941629 0.01191267234922542 0.1064193961146947 1951.020715 -6020.853505 4239.5625 9.284336271376646e-06 1.373201369064275e-05 0.003047020884630863  00000000
116769660 A E 1309032.188683176 -3968637.864895328 -5434831.760578504 0.01134568741550929 0.01176441075955955 0.1065161368784528 1807.15537 -5757.91960526168 4652.76899526168 8.090384280168876e-06 1.170838228627174e-05 0.00284436008271964  00000000
116769720 A E 1413002.400418114 -4305548.653790943 -5143775.328104529 0.01139184978802841 0.01162371627426497 0.1067326088317362 1657.651455522642 -5468.045955522643 5045.55841 7.396653505770868e-06 1.051790802070728e-05 0.002719678934317591  00000000
116769780 A E 1507855.203203955 -4624288.45368713 -4829808.717578217 0.01145837549914121 0.01147965200411608 0.1070438017782497 1503.3897 -5152.430331564345 5416.152505782173 7.327645036918255e-06 1.032328309798537e-05 0.002706962326468223  00000000
116769840 A E 1593331.869435603 -4923351.880188133 -4494314.740603956 0.01154376280625238 0.01133276077075756 0.1074419043309098 1345.26316 -4812.398192079117 5762.86427 7.876782442706518e-06 1.104869601636553e-05 0.00280656060734603  00000000
116769900 A E 1669227.495294095 -5201316.799741182 -4138774.44262941 0.01164923312556989 0.01119114711533073 0.1079316131889535 1184.172086294095 -4449.398116294095 6084.107776294096 8.930091103365011e-06 1.241925812818873e-05 0.002988325802747252  00000000
116769960 A E 1735391.288890576 -5456851.525690983 -3764760.781654508 0.01177674896775401 0.01106661916788509 0.1085207305898463 1021.019126545085 -4064.995376545085 6378.40646 8.037959737728464e-06 1.130429268509619e-05 0.002835129580412237  00000000
116770020 A E 1791726.56579184 -5688721.633320817 -3373931.834679184 0.01191708967281317 0.01095368208804765 0.1091654234307419 856.70442 -3660.86553 6644.40084 7.640609784728386e-06 1.075569803567569e-05 0.002764165296202162  00000000
116770080 A E 1838190.454330315 -5895796.361296631 -2968023.569703368 0.01206486845674748 0.0108491085156793 0.1098401950869875 692.1207770336832 -3238.787577033683 6880.85513 7.838333033623631e-06 1.077542748672236e-05 0.002799702311608081  00000000
