PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipGNV1BF            : 5                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) gni1a2gnv1b.c       1.6 05/06/03           
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:15:47 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : GRACE B                                         
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769540.000000 (2003-09-13 23:59:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116773080.000000 (2003-09-14 00:58:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:54:55 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:54:55 by l0tol1                   
FILESIZE (BYTES)              : 14451                                           
FILENAME                      : newasc/GNV1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-09-22 07:12:53 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:37:55 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-15_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:52:31 by l0tol1            
INPUT FILE NAME               : A2B<-GNV1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769540 B E 1007605.755526168 -3066941.523683176 -6049698.580895328 0.01300383682570189 0.01328408336284257 0.1140343668623713 2138.63176 -6362.532484738321 3595.34208 9.290543284758788e-06 1.330154989331199e-05 0.003048039252496396  00000000
116769600 B E 1131955.3715 -3442195.4105 -5820694.242000001 0.01297896568490725 0.01314122807236827 0.113925263593758 2005.143595 -6141.104644999999 4035.359480000001 1.0472337370425e-05 1.505076825281686e-05 0.003236099097744845  00000000
116769660 B E 1248085.925473832 -3803304.097842992 -5565808.114104672 0.01299576526266353 0.01302679680279838 0.1139989704456296 1864.80299526168 -5891.18214526168 4457.74572 9.557148853229085e-06 1.302857117169912e-05 0.003091463868983282  00000000
116769720 B E 1355611.687447736 -4148587.377238679 -5286155.412209057 0.01304511623946357 0.012921869561901 0.1142152189485428 1718.46072 -5613.769565522642 4860.601680000001 9.12991878533196e-06 1.182325284977257e-05 0.003021575546851668  00000000
116769780 B E 1454198.583 -4476429.28868713 -4982962.986734652 0.01312359874240695 0.01281554103862903 0.1145582766211457 1566.98724 -5310.003485782172 5242.10675 9.237126692156393e-06 1.158480393920153e-05 0.003039264169524655  00000000
116769840 B E 1543565.234 -4785285.957584176 -4657564.359415823 0.01322995983583069 0.01270861158805167 0.1150215624821307 1411.2677 -4981.149776039559 5600.527139999999 9.84210195072907e-06 1.224899100835401e-05 0.003137212449090605  00000000
116769900 B E 1623483.681 -5073693.263111771 -4311394.242517638 0.01336652468357744 0.01260950662612004 0.1156136872674574 1252.19674 -4628.600226294096 5934.225393705905 1.085131759953816e-05 1.357825675624823e-05 0.00329413381627677  00000000
116769960 B E 1693779.802 -5340274.229036475 -3945982.465618034 0.0135339496375173 0.01252478150875816 0.1163355046300024 1090.673476545085 -4253.866736545086 6241.66968 9.805885784685984e-06 1.21154120214717e-05 0.003131435099868107  00000000
116770020 B E 1754333.438 -5583746.034641632 -3562947.411716736 0.01372149783160815 0.01244293565807792 0.1171387972945264 927.59676 -3858.57494679184 6521.441440000001 9.196251863113383e-06 1.136000382284334e-05 0.003032532252608929  00000000
116770080 B E 1805078.23 -5802926.635296632 -3163988.983516842 0.01392033289775653 0.01235993927342987 0.117984460407956 763.86027 -3444.457217033683 6772.242892966317 9.13305693972855e-06 1.132638932386125e-05 0.003022094793306218  00000000
