PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) TimeCorrHK.c       1.22 08/18/03           
SOFTWARE LINK TIME            : @(#) 2003-09-17 12:35:00 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : SCCS ID NOT SET                                 
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769636.997052 (2003-09-14 00:00:37.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116773049.696938 (2003-09-14 00:57:29.70)       
NUMBER OF DATA RECORDS        : 58                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:53:58 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:53:58 by l0tol1                   
FILESIZE (BYTES)              : 8004                                            
FILENAME                      : newasc/MAS1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2003-09-22 17:45:24 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:52:48 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 17:32:32 by l0tol1            
INPUT FILE NAME               : A2B<-MAS1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
INPUT FILE LINKTIME TAG       : A2B<-@(#) 2004-01-10 10:38:55 glk  j2           
END OF HEADER                                                                   
116769636 997052 G B  00000000 11001100 484.453964702329 0 14.57940834210035 14.6281563602286
116769696 997050 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116769756 997048 G B  00000000 11001100 484.4457192794621 0 14.57294783794613 14.62637144151598
116769816 997046 G B  00000000 11001100 484.4378051414531 0 14.57940834210035 14.61199679935275
116769876 997044 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116769936 997042 G B  00000000 11001100 484.4457192794621 0 14.57294783794613 14.62637144151598
116769996 997040 G B  00000000 11001100 484.4296331844352 0 14.57123638508246 14.61199679935275
116770056 997038 G B  00000000 11001100 484.437547570984 0 14.57123638508246 14.61991118590157
116770116 997036 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770176 997034 G B  00000000 11001100 484.437547570984 0 14.57123638508246 14.61991118590157
116770236 997032 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770296 997030 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770356 997028 G B  00000000 11001100 484.4231734367012 0 14.57123638508246 14.60553705161876
116770416 997026 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770476 997024 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770536 997022 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770596 997020 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770656 997018 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770716 997016 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770776 997014 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770836 997012 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770896 997010 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116770956 997008 G B  00000000 11001100 484.4296331844352 0 14.57123638508246 14.61199679935275
116771016 997006 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116771076 997004 G B  00000000 11001100 484.4457195280019 0 14.57940834210035 14.61991118590157
116771136 997002 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116771196 997000 G B  00000000 11001100 484.4521797836163 0 14.57940834210035 14.62637144151598
116771256 996998 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116771316 996996 G B  00000000 11001100 484.4378051414531 0 14.57940834210035 14.61199679935275
116771376 996994 G B  00000000 11001100 484.423173658625 0 14.56477685927229 14.61199679935275
116771436 996992 G B  00000000 11001100 484.4296331844352 0 14.57123638508246 14.61199679935275
116771496 996990 G B  00000000 11001100 484.4375483007883 0 14.56477685927229 14.62637144151598
116771556 996988 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116771616 996986 G B  00000000 11001100 484.4440078265984 0 14.57123638508246 14.62637144151598
116771676 996984 G B  00000000 11001100 484.4457192794621 0 14.57294783794613 14.62637144151598
116771736 996982 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116771796 996980 G B  00000000 11001100 484.4248848895649 0 14.57294783794613 14.60553705161876
116771856 996978 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116771916 996976 G B  00000000 11001100 484.4248848895649 0 14.57294783794613 14.60553705161876
116771976 996974 G B  00000000 11001100 484.4475041981747 0 14.57294783794613 14.6281563602286
116772036 996972 G B  00000000 11001100 484.4475041981747 0 14.57294783794613 14.6281563602286
116772096 996970 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116772156 996968 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116772216 996966 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116772276 996964 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116772336 996962 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116772396 996960 G B  00000000 11001100 484.4457192794621 0 14.57294783794613 14.62637144151598
116772456 996958 G B  00000000 11001100 484.4440075896407 0 14.56477685927229 14.6328307303684
116772516 996956 G B  00000000 11001100 484.4375483007883 0 14.56477685927229 14.62637144151598
116772576 996954 G B  00000000 11001100 484.4521797836163 0 14.57940834210035 14.62637144151598
116772636 996952 G B  00000000 11001100 484.4457927453111 0 14.57123638508246 14.6281563602286
116772696 996950 G B  00000000 11001100 484.4457192794621 0 14.57294783794613 14.62637144151598
116772756 996948 G B  00000000 11001100 484.4457944421671 0 14.56477685927229 14.63461758289487
116772816 996946 G B  00000000 11001100 484.416713910891 0 14.56477685927229 14.60553705161876
116772876 996944 G B  00000000 11001100 484.4375483007883 0 14.56477685927229 14.62637144151598
116772936 996942 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116772996 996940 G B  00000000 11001100 484.4392590238477 0 14.57294783794613 14.61991118590157
116773049 696938 G B  00000000 00110011 484.4458449615712 1.274066535572993 14.57537242416889 14.62407253740233
